Month "Face Value" "Rate of interest" "Market Value" "Efffective ROI "
1.000000 10000.000000 8.000000 9970.000000 7.700000 
2.000000 10000.000000 8.000000 9302.000000 1.020000 
3.000000 10000.000000 8.000000 10200.000000 10.000000 
4.000000 10000.000000 8.000000 10040.000000 8.400000 
5.000000 10000.000000 8.000000 10000.000000 8.000000 
6.000000 10000.000000 8.000000 10305.000000 11.050000 
7.000000 10000.000000 8.000000 9700.000000 5.000000 
8.000000 10000.000000 8.000000 9900.000000 7.000000 
9.000000 10000.000000 8.000000 10050.000000 8.500000 
1.000000 10000.000000 8.000000 9970.000000 7.700000 
2.000000 10000.000000 8.000000 9302.000000 1.020000 
3.000000 10000.000000 8.000000 10200.000000 10.000000 
4.000000 10000.000000 8.000000 10040.000000 8.400000 
5.000000 10000.000000 8.000000 10000.000000 8.000000 
6.000000 10000.000000 8.000000 10305.000000 11.050000 
7.000000 10000.000000 8.000000 9700.000000 5.000000 
8.000000 10000.000000 8.000000 9900.000000 7.000000 
9.000000 10000.000000 8.000000 10050.000000 8.500000 
